Kidhome,MntWines,Marital_Status,NumWebPurchases,Recency,Response,Income,NumCatalogPurchases,cluster_em,cluster_em_probability
1,6,Partner,3,76,0,23718.0,1,2,0.9894981060722009
0,55,Single,1,99,0,42429.0,1,1,0.7620353762766763
0,437,Single,7,53,1,48948.0,10,1,0.9999999999923919
0,421,Partner,8,3,0,80011.0,6,1,0.9999999999975406
1,13,Partner,2,88,0,20559.0,0,2,0.9995878248686674
0,9,Partner,0,4,0,21994.0,0,2,0.9959425218891185
1,3,Partner,2,19,0,7500.0,0,2,0.9993486312333657
0,123,Single,2,72,0,79941.0,4,1,0.9999999999789804
0,3,Partner,3,24,1,7500.0,1,2,0.9910356548166165
1,13,Partner,2,92,0,41728.0,0,2,0.9967700324765141
1,826,Partner,5,39,0,72550.0,2,0,1.0
0,245,Single,4,29,0,65486.0,2,1,0.9999999997932618
0,650,Partner,6,2,0,79143.0,9,1,0.9999999999991891
1,12,Single,2,54,0,35790.0,0,2,0.9984449143447023
0,510,Single,4,54,1,82582.0,9,1,0.9999999999995581
1,328,Partner,4,57,0,66373.0,2,0,1.0
0,984,Partner,3,55,1,82384.0,10,1,0.9999999999995408
0,295,Single,5,30,1,70287.0,5,1,0.9999999999761617
1,13,Single,1,31,0,27938.0,0,2,0.9996219490063959
0,447,Partner,8,63,0,55954.0,2,1,0.9999999999462541
0,712,Single,3,12,1,75777.0,6,1,0.9999999999688471
1,452,Partner,4,18,0,66653.0,2,0,1.0
0,523,Single,8,26,0,61823.0,2,1,0.9999999999400404
0,546,Single,7,8,0,67680.0,3,1,0.9999999999364921
0,398,Partner,7,29,0,70666.0,4,1,0.9999999999721099
1,1,Partner,1,75,1,25721.0,1,2,0.9983823299910639
1,10,Partner,1,0,0,32474.0,0,2,0.9995684348973678
0,688,Single,11,19,1,88194.0,10,1,0.999999999999992
0,247,Partner,5,4,0,69096.0,2,1,0.9999999998566382
1,856,Partner,2,90,0,74854.0,5,0,1.0
0,496,Partner,4,1,0,66991.0,8,1,0.9999999999884261
0,258,Partner,10,29,0,65031.0,3,1,0.9999999999908544
1,565,Partner,9,88,0,60631.0,2,0,1.0
0,14,Partner,2,58,0,28332.0,1,2,0.9668209198870734
1,2,Single,1,68,0,40246.0,0,2,0.9975442791166725
0,721,Partner,7,34,1,75251.0,6,1,0.9999999999910338
0,1032,Single,5,40,1,75825.0,8,1,0.9999999999970219
0,1,Partner,0,12,0,26326.0,0,2,0.9948487554134311
0,577,Partner,10,9,1,56046.0,1,1,0.9999999999759908
1,64,Single,3,87,0,29760.0,1,2,0.8393826022253467
1,4,Partner,1,5,0,26304.0,0,2,0.999663883236067
1,25,Partner,3,87,0,23559.0,0,2,0.9978719900825965
0,112,Partner,2,56,0,38620.0,5,1,0.9999999990453734
0,163,Single,3,18,0,81361.0,10,1,0.9999999999999654
1,17,Partner,1,95,0,29440.0,0,2,0.9995982262879166
1,130,Partner,3,48,0,36138.0,1,0,0.9999999999933111
0,292,Single,6,3,1,50388.0,1,1,0.9999999997662066
0,350,Partner,5,70,0,79593.0,6,1,0.9999999999955618
0,135,Partner,2,79,0,54178.0,2,1,0.9999999997135696
1,15,Single,1,69,0,42394.0,0,2,0.9988145455708025
1,27,Partner,3,84,0,23626.0,1,2,0.9972363282811404
1,5,Partner,2,30,0,30096.0,0,2,0.998662842526665
0,505,Single,7,72,0,47916.0,4,1,0.9999999999274638
1,51,Single,2,37,0,51813.0,0,2,0.9883659069623193
0,207,Partner,5,44,0,78497.0,7,1,0.9999999999989075
0,135,Partner,5,32,0,50150.0,2,1,0.9999999997512612
0,53,Single,2,0,0,47823.0,0,2,0.5357277755981187
0,41,Single,2,43,0,34554.0,0,2,0.9148608761895488
0,386,Partner,9,59,0,85693.0,5,1,0.9999999999978195
0,562,Partner,6,68,0,65846.0,3,1,0.9999999999336988
0,217,Partner,3,35,1,87195.0,11,1,0.9999999999999956
1,1,Partner,1,94,0,24594.0,0,2,0.999699184103742
1,144,Partner,4,15,0,49096.0,1,0,0.9999999999965823
0,295,Partner,6,56,0,52413.0,4,1,0.9999999999098446
1,76,Single,3,17,0,38557.0,1,0,0.6019304940802163
0,454,Partner,5,18,0,89058.0,4,1,0.9999999999623608
0,425,Partner,6,46,0,77298.0,6,1,0.9999999999938285
0,1332,Single,7,40,1,68126.0,4,1,0.9999999999979687
0,527,Partner,8,27,0,57288.0,1,1,0.9999999999297602
0,490,Single,6,95,1,86037.0,7,1,0.9999999999990896
1,378,Partner,6,19,0,43974.0,4,0,1.0
1,64,Single,2,27,0,50785.0,1,2,0.9194725330700982
0,547,Partner,4,25,0,90765.0,6,1,0.9999999999916307
1,47,Partner,9,74,0,36550.0,1,0,0.9999999999999218
1,12,Partner,1,85,0,30753.0,1,2,0.9986286278638701
1,1,Partner,2,37,0,21918.0,0,2,0.9992645241021519
0,320,Partner,6,65,0,56129.0,2,1,0.9999999998801963
1,34,Single,2,13,1,32557.0,1,2,0.9973088241418536
2,9,Partner,1,63,0,19510.0,0,2,0.9999999999498197
1,17,Single,1,83,0,30992.0,0,2,0.9995684265538266
0,722,Single,6,69,1,101970.0,8,1,0.9999999999996634
0,162,Partner,3,87,0,71488.0,4,1,0.9999999999717817
0,450,Single,3,37,1,79607.0,6,1,0.9999999999853668
1,70,Partner,2,51,0,54348.0,0,2,0.8232493458219052
1,492,Partner,6,72,0,77376.0,3,0,1.0
0,120,Partner,5,10,0,62998.0,4,1,0.9999999999538449
1,534,Alone,11,42,0,61331.0,1,0,1.0
0,236,Partner,7,10,0,73448.0,2,1,0.99999999994282
1,220,Partner,5,51,0,41551.0,1,0,1.0
0,796,Partner,4,21,0,62981.0,5,1,0.9999999999314952
1,0,Single,1,31,0,9548.0,0,2,0.999560471364777
2,53,Partner,2,61,0,33762.0,2,2,0.9999998531839688
1,15,Alone,1,37,1,35860.0,1,2,0.9973029973437268
1,17,Single,2,74,0,36921.0,0,2,0.9988099189160189
0,962,Single,5,46,0,92859.0,4,1,0.9999999999584279
0,738,Partner,3,4,1,65104.0,5,1,0.9999999999039453
0,399,Partner,5,73,0,86111.0,7,1,0.9999999999988756
0,614,Single,8,47,0,68352.0,5,1,0.9999999999865179
1,32,Partner,4,13,0,41883.0,2,0,0.9864046554113569
0,598,Partner,3,36,0,59809.0,3,1,0.999999999782712
1,2,Partner,2,47,1,23957.0,0,2,0.9992023876284064
1,6,Partner,1,49,0,38547.0,0,2,0.9987574078858824
2,73,Partner,4,94,0,35688.0,1,2,0.9999998460845821
0,42,Partner,2,65,0,49605.0,1,1,0.6050614635889457
0,295,Partner,4,59,0,59354.0,4,1,0.9999999998952496
0,346,Partner,8,96,0,65747.0,1,1,0.9999999999517479
0,233,Partner,7,28,0,46344.0,1,1,0.9999999998414077
1,5,Alone,3,12,0,34176.0,0,2,0.955088118957633
0,888,Partner,8,57,0,61010.0,5,1,0.9999999999884368
0,997,Partner,10,10,1,69372.0,4,1,0.9999999999948317
0,212,Single,6,4,0,49967.0,1,1,0.9999999997698419
1,8,Single,0,49,0,60199.0,0,2,0.8906919635453949
0,42,Partner,1,3,0,55375.0,1,1,0.7822848163465596
0,536,Single,3,64,0,80317.0,4,1,0.9999999999376179
2,5,Single,1,0,0,30523.0,0,2,0.9999999999714912
0,1349,Partner,10,20,0,70356.0,6,1,0.9999999999994857
1,53,Partner,3,91,0,23228.0,0,2,0.916290964348233
0,1001,Single,5,9,0,74165.0,4,1,0.9999999999691029
0,20,Partner,0,98,0,157243.0,22,1,1.0
2,18,Partner,2,83,0,43482.0,0,2,0.9999999998025833
0,125,Single,6,27,0,62551.0,7,1,0.9999999999963132
0,212,Single,3,63,0,52332.0,2,1,0.9999999996570579
0,277,Single,3,46,0,66951.0,4,1,0.9999999999111768
1,15,Partner,2,84,0,26091.0,1,2,0.998915320060797
1,7,Partner,1,58,0,33456.0,0,2,0.9994323596714112
1,12,Partner,2,78,0,28718.0,0,2,0.9994020416982604
2,85,Partner,3,4,0,50447.0,1,2,0.9999996579588329
1,81,Partner,2,17,0,53537.0,1,0,0.7191977969457027
0,59,Single,2,77,0,52074.0,2,1,0.9979192337499335
0,1149,Partner,11,56,0,80427.0,8,1,0.999999999999833
0,847,Partner,9,79,1,83837.0,10,1,0.9999999999999591
1,29,Partner,2,90,0,38853.0,0,2,0.9988939960266104
2,2,Partner,0,96,0,38285.0,0,2,0.9999999998594875
0,207,Partner,5,44,0,78497.0,7,1,0.9999999999989075
0,152,Partner,4,81,0,51650.0,1,1,0.9999999997594604
1,12,Partner,2,77,0,16248.0,1,2,0.9991229797812688
0,620,Partner,6,21,0,66835.0,4,1,0.9999999999398654
1,47,Partner,1,16,0,30477.0,1,2,0.9599640033688439
0,1,Partner,2,80,0,28249.0,0,2,0.9529291099014777
1,10,Partner,1,45,0,25271.0,1,2,0.9987332087200289
0,35,Single,1,63,0,32303.0,0,2,0.9492401161195769
0,356,Partner,7,34,0,61286.0,1,1,0.9999999998816147
0,783,Partner,4,14,0,74068.0,10,1,0.9999999999985665
1,42,Partner,2,13,0,45759.0,0,2,0.9963336195192017
1,1,Partner,1,52,0,24882.0,1,2,0.9982733371929498
0,466,Partner,8,98,0,66973.0,7,1,0.9999999999983373
1,15,Single,2,99,0,36640.0,1,2,0.9966121166829474
1,23,Partner,3,93,0,38872.0,0,2,0.9924160490757213
1,235,Partner,5,38,0,51148.0,1,0,1.0
1,10,Partner,1,24,0,31353.0,1,2,0.9978926174532546
0,656,Partner,7,80,0,69661.0,3,1,0.9999999999629838
0,519,Partner,4,82,0,80067.0,6,1,0.9999999999917533
0,344,Partner,5,20,0,86718.0,6,1,0.9999999999963078
1,96,Single,5,81,1,46854.0,1,0,0.9982811286971175
0,448,Single,8,50,0,69142.0,1,1,0.9999999999212354
0,265,Single,4,60,0,75922.0,4,1,0.9999999999656684
0,587,Single,11,63,0,63693.0,6,1,0.9999999999982858
0,763,Partner,7,54,1,102160.0,9,1,0.9999999999999201
1,22,Single,1,72,0,40637.0,0,2,0.999147145706007
0,6,Single,0,5,1,18890.0,1,2,0.9925119795931069
1,7,Partner,1,88,0,29604.0,0,2,0.9996386557978135
1,81,Single,4,50,0,48721.0,2,0,0.990486485948452
0,54,Partner,2,99,0,44794.0,0,1,0.5476589435369958
0,1170,Single,11,17,1,64497.0,4,1,0.9999999999986695
0,72,Partner,3,11,0,46097.0,1,1,0.9666829044121353
0,613,Partner,4,18,0,77972.0,6,1,0.9999999999798517
1,224,Partner,5,70,0,44377.0,1,0,1.0
1,410,Partner,7,21,0,46014.0,1,0,1.0
0,239,Partner,3,66,0,70951.0,4,1,0.9999999999497251
1,171,Partner,8,79,0,41443.0,1,0,1.0
2,12,Single,1,2,0,52195.0,0,2,0.9999999995791091
0,1076,Partner,8,81,0,83790.0,10,1,0.9999999999999281
0,182,Single,4,24,0,44551.0,1,1,0.9999999994208428
1,824,Partner,11,48,0,69508.0,4,0,1.0
1,30,Partner,1,93,0,45204.0,1,2,0.9953522291997393
0,377,Partner,3,56,0,72460.0,5,1,0.9999999999628422
0,520,Partner,6,3,0,77622.0,3,1,0.9999999999215969
1,155,Partner,4,44,0,30732.0,1,0,1.0
0,897,Single,9,38,0,63887.0,6,1,0.9999999999944915
1,131,Partner,3,46,0,42011.0,1,0,0.9999999999472111
0,297,Partner,8,84,0,51369.0,2,1,0.9999999999525766
0,787,Single,2,27,0,51537.0,2,1,0.9999999998333102
0,792,Partner,3,72,0,79930.0,5,1,0.9999999999729656
1,4,Partner,1,66,0,34320.0,0,2,0.9992610749630556
1,231,Single,5,30,1,37070.0,1,0,1.0
0,983,Single,6,2,0,81975.0,3,1,0.9999999999552864
1,3,Partner,1,65,0,38590.0,0,2,0.9983966505211708
0,0,Single,1,37,0,15033.0,0,2,0.998768619636037
0,562,Partner,7,89,0,62745.0,8,1,0.9999999999972253
1,5,Partner,2,49,0,22212.0,0,2,0.9994277102945787
1,18,Partner,1,46,0,23661.0,0,2,0.9994410457872576
0,415,Single,5,32,0,79761.0,2,1,0.999999999834106
1,5,Single,3,54,0,7500.0,1,2,0.9959956482748382
0,8,Single,1,23,0,60182.0,0,1,0.9875180427336102
0,901,Single,6,98,0,73455.0,5,1,0.9999999999906066
0,382,Partner,6,97,0,64961.0,4,1,0.999999999972967
1,14,Single,2,75,0,22804.0,0,2,0.9995443953105977
0,559,Partner,3,8,1,73687.0,9,1,0.9999999999967901
0,789,Partner,11,37,0,61074.0,5,1,0.9999999999961826
1,11,Partner,1,31,0,31686.0,0,2,0.9995629631469616
1,1218,Partner,5,40,1,80134.0,3,0,1.0
0,925,Partner,9,74,0,75027.0,4,1,0.9999999999925064
0,864,Partner,4,90,0,67546.0,10,1,0.9999999999988152
0,960,Partner,9,57,0,65176.0,6,1,0.9999999999962252
1,16,Single,2,59,0,31160.0,0,2,0.9992852939921039
1,3,Single,1,52,0,29938.0,0,2,0.999509888831861
0,168,Single,6,5,1,102692.0,9,1,0.9999999999999982
0,45,Partner,3,92,0,26490.0,1,2,0.8287448029321308
1,650,Partner,4,77,0,75702.0,6,0,1.0
1,24,Single,1,35,0,30899.0,0,2,0.9993064922083668
0,918,Partner,8,48,0,63342.0,3,1,0.9999999999832143
0,138,Single,3,97,0,45989.0,2,1,0.9999999997195923
1,12,Single,2,95,0,18701.0,0,2,0.9996079236359166
2,11,Single,1,24,0,40737.0,0,2,0.9999999999314593
1,1,Single,1,60,1,15287.0,1,2,0.9989428423874268
0,554,Single,10,46,0,69674.0,2,1,0.999999999978642
1,167,Partner,4,85,0,44159.0,1,0,1.0
1,9,Partner,1,31,0,37717.0,0,2,0.9991185701726094
1,177,Partner,5,9,1,43776.0,2,0,1.0
1,38,Partner,3,30,0,38179.0,1,2,0.9881516990500134
0,483,Partner,3,47,0,80124.0,7,1,0.9999999999942917
1,77,Partner,3,70,1,38097.0,2,0,0.9735326510699754
0,182,Partner,3,13,0,72940.0,3,1,0.9999999998950049
1,10,Partner,2,11,0,22070.0,2,2,0.7967397369106941
0,778,Single,3,31,1,69267.0,4,1,0.9999999999116294
1,16,Single,3,15,0,31788.0,0,2,0.9930899979531792
0,167,Partner,4,2,0,61905.0,2,1,0.9999999997804716
1,13,Partner,2,55,0,29315.0,0,2,0.9993205132950294
1,33,Single,2,38,0,33378.0,0,2,0.9987020968792975
0,625,Partner,6,86,0,66313.0,3,1,0.9999999999502167
0,216,Single,7,56,1,60714.0,4,1,0.9999999999745177
0,68,Partner,3,29,0,77882.0,3,1,0.9999999999410312
0,196,Single,3,30,1,69867.0,5,1,0.9999999999680775
0,635,Single,9,64,0,63841.0,3,1,0.9999999999797402
1,4,Partner,3,46,0,24480.0,0,2,0.9925980715212187
0,297,Partner,8,84,0,51369.0,2,1,0.9999999999525766
0,84,Partner,4,20,0,37760.0,1,1,0.9990137944124233
0,204,Partner,5,74,0,65640.0,1,1,0.9999999998471472
1,26,Partner,2,18,0,44319.0,0,2,0.997359998001393
1,15,Partner,3,75,0,30631.0,1,2,0.9890778622101266
0,304,Partner,6,17,0,75278.0,3,1,0.9999999999461284
1,285,Partner,6,88,0,50898.0,2,0,1.0
0,395,Single,5,19,0,79946.0,11,1,0.9999999999999689
0,248,Single,7,62,0,35416.0,1,1,0.9999999998072138
0,20,Partner,1,11,0,32414.0,0,2,0.9900389889695316
1,39,Partner,3,74,0,38361.0,1,2,0.9912897445107691
0,777,Partner,2,32,0,82497.0,7,1,0.9999999999900258
2,8,Partner,3,76,0,16626.0,0,2,0.9999999997608855
1,9,Partner,0,6,0,29672.0,0,2,0.9993069121865704
0,1241,Partner,3,62,0,55951.0,6,1,0.999999999993733
1,6,Single,1,20,0,35388.0,0,2,0.9992304968395652
1,65,Partner,3,43,0,42386.0,0,2,0.8690067420013481
0,395,Single,2,45,0,68627.0,3,1,0.9999999997978457
0,801,Single,8,34,0,57912.0,3,1,0.9999999999713514
1,36,Single,3,53,0,35246.0,1,2,0.9922763086454294
0,513,Partner,9,44,0,58821.0,2,1,0.99999999996446
1,37,Partner,2,89,0,46377.0,1,2,0.9940179558718347
1,80,Single,5,43,0,39747.0,1,0,0.9760795483649999
1,14,Partner,3,68,0,23976.0,1,2,0.9948744276719632
0,525,Partner,6,44,0,80950.0,7,1,0.999999999997379
0,1,Single,3,64,1,27038.0,0,2,0.5769362512612874
0,675,Single,2,85,0,77457.0,5,1,0.9999999999700977
0,509,Partner,8,93,0,64100.0,3,1,0.9999999999756373
0,154,Partner,4,12,0,42670.0,2,1,0.999999999302907
1,3,Single,3,86,0,12571.0,1,2,0.9962341046861747
2,25,Partner,2,28,0,22574.0,0,2,0.9999999999033369
0,768,Single,6,42,0,70893.0,6,1,0.9999999999850715
1,185,Partner,3,13,0,54198.0,1,0,1.0
1,24,Partner,2,86,0,28839.0,0,2,0.9993774904013523
1,44,Partner,3,59,0,40321.0,0,2,0.9900161991571736
1,91,Single,4,30,0,66503.0,3,0,0.999999747728105
1,11,Partner,1,33,0,30833.0,0,2,0.9995848701852497
0,412,Partner,3,23,0,64795.0,3,1,0.9999999997698517
1,3,Partner,1,81,0,34421.0,0,2,0.9992425755830018
1,16,Single,1,6,0,47025.0,0,2,0.9975696218234729
0,731,Single,10,41,0,64325.0,3,1,0.999999999987355
0,424,Single,8,78,0,40464.0,2,1,0.9999999999264322
0,792,Partner,4,49,0,62187.0,8,1,0.9999999999835145
1,21,Single,2,39,0,14849.0,0,2,0.9988354002734219
1,22,Partner,1,3,0,27255.0,0,2,0.999422944826388
2,33,Partner,1,37,0,54432.0,0,2,0.9999999997326343
1,68,Single,3,22,0,29999.0,1,2,0.6028483272461803
1,9,Single,1,79,0,24072.0,0,2,0.9996860786366153
0,40,Single,1,46,0,33996.0,1,2,0.874034297272222
0,909,Partner,9,82,1,66334.0,3,1,0.9999999999911298
1,23,Partner,1,10,1,35178.0,1,2,0.9976797144784498
1,11,Partner,2,51,0,22010.0,0,2,0.9995131258365763
0,317,Single,4,38,0,62204.0,5,1,0.9999999999339728
0,797,Single,11,10,1,75693.0,4,1,0.9999999999951985
1,10,Partner,1,14,0,30675.0,0,2,0.9996013197244185
0,856,Partner,7,18,1,83003.0,6,1,0.9999999999929479
0,755,Partner,4,36,0,83532.0,6,1,0.9999999999852016
0,456,Single,4,95,0,68655.0,5,1,0.9999999999744413
0,37,Single,2,11,0,41411.0,1,2,0.7898408764012268
0,1103,Partner,4,65,0,55212.0,2,1,0.9999999999896625
0,378,Partner,3,71,0,59292.0,5,1,0.9999999999147557
1,1,Partner,1,13,1,27190.0,0,2,0.9995825067201823
0,204,Single,2,58,0,82623.0,9,1,0.999999999999873
1,30,Partner,1,65,0,44300.0,0,2,0.9985273243645415
0,189,Single,4,0,1,84835.0,4,1,0.9999999999797291
1,15,Single,2,33,0,30372.0,0,2,0.9992669493456152
1,9,Partner,1,90,0,33181.0,0,2,0.9995485795839039
0,495,Partner,6,95,0,71113.0,7,1,0.9999999999970504
1,656,Partner,8,93,0,71952.0,4,0,1.0
0,452,Single,4,38,1,69759.0,6,1,0.9999999999750853
0,546,Partner,3,18,0,72099.0,4,1,0.9999999998837685
0,1048,Single,11,57,0,60000.0,3,1,0.9999999999978924
1,22,Single,2,45,0,38643.0,0,2,0.9986408744944618
0,78,Partner,2,61,0,50737.0,0,1,0.9932516652526738
0,561,Partner,3,6,0,68462.0,3,1,0.999999999788681
0,629,Partner,5,65,0,65073.0,3,1,0.9999999999138587
0,269,Partner,4,52,0,46681.0,6,1,0.9999999998138875
0,736,Partner,4,87,0,78618.0,7,1,0.9999999999953335
0,512,Single,6,38,0,62187.0,2,1,0.9999999998732343
2,19,Partner,2,53,0,28442.0,1,2,0.9999999998583453
1,9,Partner,1,31,0,37717.0,0,2,0.9991185701726094
1,247,Partner,6,67,0,51479.0,3,0,1.0
0,404,Single,6,65,0,54803.0,2,1,0.9999999998749738
0,333,Partner,4,64,0,79530.0,10,1,0.9999999999999281
1,2,Single,2,82,0,31615.0,0,2,0.9981600692125728
0,833,Partner,4,27,0,72025.0,3,1,0.9999999999119424
0,789,Single,2,63,0,52614.0,4,1,0.9999999998801075
1,10,Partner,1,66,0,35684.0,0,2,0.9993773926109826
1,159,Partner,5,69,0,48178.0,1,0,0.9999999999999991
1,7,Single,1,52,0,29548.0,1,2,0.9981260946555935
0,977,Single,4,45,0,63810.0,3,1,0.999999999961557
1,38,Single,3,2,1,38578.0,0,2,0.9925160811149816
1,57,Single,3,86,0,46098.0,2,0,0.6261799883200213
0,3,Single,1,23,1,22585.0,1,2,0.9922845876820346
1,10,Single,1,13,0,30279.0,0,2,0.999612354109614
0,1043,Partner,3,14,0,66426.0,5,1,0.9999999999701279
1,3,Single,1,92,0,30822.0,0,2,0.999542859454398
2,11,Partner,1,38,0,33581.0,0,2,0.9999999999604698
1,3,Partner,0,74,0,19986.0,0,2,0.9992139277251265
0,43,Single,4,14,0,27421.0,1,1,0.6425292789060337
2,73,Partner,4,94,0,35688.0,1,2,0.9999998460845821
1,12,Single,0,33,0,36143.0,1,2,0.9932818733570865
1,4,Single,1,32,0,10245.0,2,2,0.8224460245518367
0,314,Partner,7,11,1,43795.0,3,1,0.9999999998088018
0,571,Partner,4,78,0,63381.0,5,1,0.9999999999510898
0,70,Partner,2,56,0,38823.0,1,1,0.9475595012073359
1,866,Single,2,57,0,83664.0,2,0,1.0
0,594,Partner,5,7,0,90300.0,6,1,0.9999999999921423
1,140,Partner,3,0,0,62499.0,1,0,0.9999999995165423
0,375,Single,5,66,0,74293.0,4,1,0.999999999963884
0,102,Partner,4,86,0,51012.0,1,1,0.999989076022514
0,554,Partner,5,80,0,70777.0,3,1,0.9999999999274976
0,919,Partner,4,56,0,68682.0,9,1,0.9999999999963922
1,96,Partner,3,18,0,43824.0,1,0,0.9969361232133063
1,5,Partner,1,51,1,15345.0,1,2,0.9988848162128625
1,2,Single,1,71,0,23442.0,0,2,0.9996888163093346
1,6,Partner,2,71,1,14515.0,2,2,0.8995394937768043
1,23,Single,2,80,0,31395.0,1,2,0.9985767359271364
0,610,Partner,9,2,0,75276.0,4,1,0.9999999999863451
1,67,Single,2,83,0,42373.0,1,2,0.8520302562568588
0,65,Partner,5,29,0,30507.0,1,1,0.9971362732282183
1,416,Single,6,11,1,55521.0,3,0,1.0
1,23,Partner,1,55,0,48006.0,0,2,0.9978646222091657
1,19,Single,2,19,1,27213.0,0,2,0.999397421588411
1,155,Single,5,1,0,65808.0,1,0,0.999999999997593
1,14,Partner,3,19,0,30351.0,0,2,0.9933479306341628
0,370,Partner,7,28,0,50437.0,1,1,0.9999999998623741
1,4,Single,3,76,1,23616.0,0,2,0.9947301604610645
0,407,Partner,4,50,0,53858.0,3,1,0.9999999997574847
0,1200,Partner,11,1,0,66465.0,9,1,0.9999999999997655
1,85,Single,5,90,0,46923.0,1,0,0.981714011187047
0,583,Partner,5,83,0,75072.0,4,1,0.9999999999622222
0,483,Partner,3,73,0,75865.0,5,1,0.9999999999696567
1,2,Partner,2,24,0,19789.0,1,2,0.9978641454149592
0,966,Partner,2,11,0,80134.0,7,1,0.9999999999890905
0,822,Single,7,33,1,91065.0,9,1,0.9999999999997646
1,604,Partner,10,4,0,49505.0,2,0,1.0
1,19,Partner,2,14,0,37401.0,0,2,0.9986703615608292
1,5,Partner,2,30,0,30096.0,0,2,0.998662842526665
1,2,Partner,1,75,0,18492.0,0,2,0.9997120027043801
0,1076,Partner,3,26,1,82584.0,4,1,0.9999999999688578
0,1285,Partner,7,77,0,93027.0,10,1,0.9999999999999556
1,10,Partner,1,8,0,48686.0,0,2,0.9935957141045283
0,551,Partner,6,42,0,92910.0,7,1,0.9999999999987104
1,800,Partner,2,28,0,75433.0,5,0,1.0
1,2,Partner,1,52,0,10404.0,0,2,0.9995399979328972
0,378,Partner,5,1,0,61314.0,5,1,0.9999999999286513
0,1248,Single,2,1,1,84865.0,4,1,0.9999999999847144
1,235,Partner,8,42,0,42387.0,1,0,1.0
1,515,Partner,9,76,0,67309.0,6,0,1.0
0,438,Partner,8,27,0,75236.0,3,1,0.9999999999681526
1,25,Single,1,28,0,30015.0,0,2,0.9992358675512725
0,31,Partner,1,49,0,50943.0,0,2,0.7681687975310626
0,357,Single,6,12,0,67272.0,2,1,0.999999999873999
0,400,Single,9,14,0,51529.0,1,1,0.9999999999482823
1,99,Partner,2,89,0,32011.0,1,0,0.9999969318464478
1,1,Partner,2,96,0,7500.0,0,2,0.9995265145213401
1,5,Partner,1,56,0,28691.0,0,2,0.9995989673757871
0,77,Partner,2,72,0,56223.0,1,1,0.9916016116767029
0,3,Partner,0,14,0,18100.0,0,2,0.9975603696990463
1,10,Single,1,13,0,30279.0,0,2,0.999612354109614
0,0,Partner,1,99,0,20130.0,0,2,0.9962957423936158
0,0,Single,1,72,0,23295.0,0,2,0.9953407293780374
1,76,Single,5,92,0,42618.0,0,0,0.9776810845168062
0,398,Single,4,87,0,81246.0,5,1,0.9999999999871108
1,14,Partner,2,7,0,24027.0,0,2,0.9994822959819007
0,208,Partner,3,91,0,55707.0,2,1,0.9999999998039435
0,430,Single,4,71,0,57959.0,7,1,0.9999999999709877
0,656,Partner,8,24,0,56796.0,9,1,0.9999999999949312
1,14,Single,2,17,0,36230.0,0,2,0.9984726136835219
1,141,Partner,4,87,0,70829.0,2,0,0.9999999988507922
0,507,Partner,9,21,0,65991.0,5,1,0.999999999990401
1,164,Partner,5,90,0,38988.0,1,0,1.0
0,606,Single,7,44,1,89572.0,7,1,0.9999999999986873
