MntWines,Income,Kidhome,Marital_Status,cluster_kmeans
42,55375.0,0,Partner,2
536,80317.0,0,Single,0
5,30523.0,2,Single,1
1349,70356.0,0,Partner,0
53,23228.0,1,Partner,1
1001,74165.0,0,Single,0
20,157243.0,0,Partner,0
18,43482.0,2,Partner,1
125,62551.0,0,Single,2
212,52332.0,0,Single,2
277,66951.0,0,Single,2
15,26091.0,1,Partner,1
7,33456.0,1,Partner,1
12,28718.0,1,Partner,1
85,50447.0,2,Partner,1
81,53537.0,1,Partner,1
59,52074.0,0,Single,2
1149,80427.0,0,Partner,0
847,83837.0,0,Partner,0
29,38853.0,1,Partner,1
2,38285.0,2,Partner,1
207,78497.0,0,Partner,2
152,51650.0,0,Partner,2
12,16248.0,1,Partner,1
620,66835.0,0,Partner,0
47,30477.0,1,Partner,1
1,28249.0,0,Partner,2
10,25271.0,1,Partner,1
35,32303.0,0,Single,2
356,61286.0,0,Partner,2
783,74068.0,0,Partner,0
42,45759.0,1,Partner,1
1,24882.0,1,Partner,1
466,66973.0,0,Partner,0
15,36640.0,1,Single,1
23,38872.0,1,Partner,1
235,51148.0,1,Partner,1
10,31353.0,1,Partner,1
656,69661.0,0,Partner,0
519,80067.0,0,Partner,0
344,86718.0,0,Partner,0
96,46854.0,1,Single,1
448,69142.0,0,Single,0
265,75922.0,0,Single,2
587,63693.0,0,Single,0
763,102160.0,0,Partner,0
22,40637.0,1,Single,1
6,18890.0,0,Single,2
7,29604.0,1,Partner,1
81,48721.0,1,Single,1
54,44794.0,0,Partner,2
1170,64497.0,0,Single,0
72,46097.0,0,Partner,2
613,77972.0,0,Partner,0
224,44377.0,1,Partner,1
410,46014.0,1,Partner,1
239,70951.0,0,Partner,2
171,41443.0,1,Partner,1
12,52195.0,2,Single,1
1076,83790.0,0,Partner,0
182,44551.0,0,Single,2
824,69508.0,1,Partner,0
30,45204.0,1,Partner,1
377,72460.0,0,Partner,2
520,77622.0,0,Partner,0
155,30732.0,1,Partner,1
897,63887.0,0,Single,0
131,42011.0,1,Partner,1
297,51369.0,0,Partner,2
787,51537.0,0,Single,0
792,79930.0,0,Partner,0
4,34320.0,1,Partner,1
231,37070.0,1,Single,1
983,81975.0,0,Single,0
3,38590.0,1,Partner,1
0,15033.0,0,Single,2
562,62745.0,0,Partner,0
5,22212.0,1,Partner,1
18,23661.0,1,Partner,1
415,79761.0,0,Single,0
5,7500.0,1,Single,1
8,60182.0,0,Single,2
901,73455.0,0,Single,0
382,64961.0,0,Partner,2
14,22804.0,1,Single,1
559,73687.0,0,Partner,0
789,61074.0,0,Partner,0
11,31686.0,1,Partner,1
1218,80134.0,1,Partner,0
925,75027.0,0,Partner,0
864,67546.0,0,Partner,0
960,65176.0,0,Partner,0
16,31160.0,1,Single,1
3,29938.0,1,Single,1
168,102692.0,0,Single,0
45,26490.0,0,Partner,2
650,75702.0,1,Partner,0
24,30899.0,1,Single,1
918,63342.0,0,Partner,0
138,45989.0,0,Single,2
12,18701.0,1,Single,1
11,40737.0,2,Single,1
1,15287.0,1,Single,1
554,69674.0,0,Single,0
167,44159.0,1,Partner,1
9,37717.0,1,Partner,1
177,43776.0,1,Partner,1
38,38179.0,1,Partner,1
483,80124.0,0,Partner,0
77,38097.0,1,Partner,1
182,72940.0,0,Partner,2
10,22070.0,1,Partner,1
778,69267.0,0,Single,0
16,31788.0,1,Single,1
167,61905.0,0,Partner,2
13,29315.0,1,Partner,1
33,33378.0,1,Single,1
625,66313.0,0,Partner,0
216,60714.0,0,Single,2
68,77882.0,0,Partner,2
196,69867.0,0,Single,2
635,63841.0,0,Single,0
4,24480.0,1,Partner,1
297,51369.0,0,Partner,2
84,37760.0,0,Partner,2
204,65640.0,0,Partner,2
26,44319.0,1,Partner,1
15,30631.0,1,Partner,1
304,75278.0,0,Partner,2
285,50898.0,1,Partner,1
395,79946.0,0,Single,0
248,35416.0,0,Single,2
20,32414.0,0,Partner,2
39,38361.0,1,Partner,1
777,82497.0,0,Partner,0
8,16626.0,2,Partner,1
9,29672.0,1,Partner,1
1241,55951.0,0,Partner,0
6,35388.0,1,Single,1
65,42386.0,1,Partner,1
395,68627.0,0,Single,2
801,57912.0,0,Single,0
36,35246.0,1,Single,1
513,58821.0,0,Partner,0
37,46377.0,1,Partner,1
80,39747.0,1,Single,1
14,23976.0,1,Partner,1
525,80950.0,0,Partner,0
1,27038.0,0,Single,2
675,77457.0,0,Single,0
509,64100.0,0,Partner,0
154,42670.0,0,Partner,2
3,12571.0,1,Single,1
25,22574.0,2,Partner,1
768,70893.0,0,Single,0
185,54198.0,1,Partner,1
24,28839.0,1,Partner,1
44,40321.0,1,Partner,1
91,66503.0,1,Single,1
11,30833.0,1,Partner,1
412,64795.0,0,Partner,2
3,34421.0,1,Partner,1
16,47025.0,1,Single,1
731,64325.0,0,Single,0
424,40464.0,0,Single,2
792,62187.0,0,Partner,0
21,14849.0,1,Single,1
22,27255.0,1,Partner,1
33,54432.0,2,Partner,1
68,29999.0,1,Single,1
9,24072.0,1,Single,1
40,33996.0,0,Single,2
909,66334.0,0,Partner,0
23,35178.0,1,Partner,1
11,22010.0,1,Partner,1
317,62204.0,0,Single,2
797,75693.0,0,Single,0
10,30675.0,1,Partner,1
856,83003.0,0,Partner,0
755,83532.0,0,Partner,0
456,68655.0,0,Single,0
37,41411.0,0,Single,2
1103,55212.0,0,Partner,0
378,59292.0,0,Partner,2
1,27190.0,1,Partner,1
204,82623.0,0,Single,2
30,44300.0,1,Partner,1
189,84835.0,0,Single,2
15,30372.0,1,Single,1
9,33181.0,1,Partner,1
495,71113.0,0,Partner,0
656,71952.0,1,Partner,0
452,69759.0,0,Single,0
546,72099.0,0,Partner,0
1048,60000.0,0,Single,0
22,38643.0,1,Single,1
78,50737.0,0,Partner,2
561,68462.0,0,Partner,0
629,65073.0,0,Partner,0
269,46681.0,0,Partner,2
736,78618.0,0,Partner,0
512,62187.0,0,Single,0
19,28442.0,2,Partner,1
9,37717.0,1,Partner,1
247,51479.0,1,Partner,1
404,54803.0,0,Single,2
333,79530.0,0,Partner,0
2,31615.0,1,Single,1
833,72025.0,0,Partner,0
789,52614.0,0,Single,0
10,35684.0,1,Partner,1
159,48178.0,1,Partner,1
7,29548.0,1,Single,1
977,63810.0,0,Single,0
38,38578.0,1,Single,1
57,46098.0,1,Single,1
3,22585.0,0,Single,2
10,30279.0,1,Single,1
1043,66426.0,0,Partner,0
3,30822.0,1,Single,1
11,33581.0,2,Partner,1
3,19986.0,1,Partner,1
43,27421.0,0,Single,2
73,35688.0,2,Partner,1
12,36143.0,1,Single,1
4,10245.0,1,Single,1
314,43795.0,0,Partner,2
571,63381.0,0,Partner,0
70,38823.0,0,Partner,2
866,83664.0,1,Single,0
594,90300.0,0,Partner,0
140,62499.0,1,Partner,1
375,74293.0,0,Single,0
102,51012.0,0,Partner,2
554,70777.0,0,Partner,0
919,68682.0,0,Partner,0
96,43824.0,1,Partner,1
5,15345.0,1,Partner,1
2,23442.0,1,Single,1
6,14515.0,1,Partner,1
23,31395.0,1,Single,1
610,75276.0,0,Partner,0
67,42373.0,1,Single,1
65,30507.0,0,Partner,2
416,55521.0,1,Single,1
23,48006.0,1,Partner,1
19,27213.0,1,Single,1
155,65808.0,1,Single,1
14,30351.0,1,Partner,1
370,50437.0,0,Partner,2
4,23616.0,1,Single,1
407,53858.0,0,Partner,2
1200,66465.0,0,Partner,0
85,46923.0,1,Single,1
583,75072.0,0,Partner,0
483,75865.0,0,Partner,0
2,19789.0,1,Partner,1
966,80134.0,0,Partner,0
822,91065.0,0,Single,0
604,49505.0,1,Partner,1
19,37401.0,1,Partner,1
5,30096.0,1,Partner,1
2,18492.0,1,Partner,1
1076,82584.0,0,Partner,0
1285,93027.0,0,Partner,0
10,48686.0,1,Partner,1
551,92910.0,0,Partner,0
800,75433.0,1,Partner,0
2,10404.0,1,Partner,1
378,61314.0,0,Partner,2
1248,84865.0,0,Single,0
235,42387.0,1,Partner,1
515,67309.0,1,Partner,1
438,75236.0,0,Partner,0
25,30015.0,1,Single,1
31,50943.0,0,Partner,2
357,67272.0,0,Single,2
400,51529.0,0,Single,2
99,32011.0,1,Partner,1
1,7500.0,1,Partner,1
5,28691.0,1,Partner,1
77,56223.0,0,Partner,2
3,18100.0,0,Partner,2
10,30279.0,1,Single,1
0,20130.0,0,Partner,2
0,23295.0,0,Single,2
76,42618.0,1,Single,1
398,81246.0,0,Single,0
14,24027.0,1,Partner,1
208,55707.0,0,Partner,2
430,57959.0,0,Single,2
656,56796.0,0,Partner,0
14,36230.0,1,Single,1
141,70829.0,1,Partner,1
507,65991.0,0,Partner,0
164,38988.0,1,Partner,1
606,89572.0,0,Single,0
116,42207.0,1,Partner,1
143,50300.0,0,Partner,2
398,66664.0,0,Partner,2
522,60597.0,0,Partner,0
161,70165.0,0,Single,2
112,50520.0,0,Single,2
483,80124.0,0,Partner,0
7,33183.0,1,Partner,1
789,66582.0,0,Single,0
1239,75261.0,0,Partner,0
4,31880.0,1,Single,1
335,53790.0,0,Partner,2
639,49269.0,1,Partner,1
563,61456.0,0,Partner,0
2,37406.0,1,Partner,1
746,56937.0,1,Partner,0
22,38415.0,1,Partner,1
4,20518.0,1,Single,1
478,62503.0,0,Partner,0
20,41644.0,1,Single,1
451,55842.0,0,Partner,2
371,62010.0,0,Partner,2
281,41124.0,1,Partner,1
19,38961.0,1,Partner,1
26,37760.0,1,Single,1
138,32233.0,1,Single,1
213,43057.0,0,Partner,2
407,83151.0,0,Partner,0
483,78825.0,0,Single,0
738,65104.0,0,Partner,0
502,60093.0,0,Partner,0
11,14045.0,1,Partner,1
24,28457.0,0,Single,2
1170,78952.0,0,Partner,0
185,46310.0,1,Single,1
983,76005.0,0,Partner,0
691,58308.0,0,Single,0
504,55614.0,0,Single,2
317,59432.0,0,Single,2
29,55563.0,0,Single,2
1396,78642.0,0,Partner,0
529,67911.0,0,Partner,0
388,65275.0,0,Partner,2
13,27203.0,1,Partner,1
28,48330.0,0,Partner,2
16,24279.0,0,Partner,2
1047,64355.0,1,Partner,0
31,50943.0,0,Partner,2
815,53653.0,0,Single,0
225,65665.0,0,Partner,2
493,81217.0,0,Single,0
34,34935.0,0,Partner,2
382,61250.0,0,Single,2
127,39665.0,1,Partner,1
325,60152.0,0,Single,2
238,48920.0,0,Partner,2
1168,89120.0,0,Partner,0
284,44124.0,0,Partner,2
1288,81169.0,0,Single,0
65,36443.0,1,Partner,1
11,26095.0,1,Single,1
227,71367.0,0,Partner,2
1035,80184.0,0,Partner,0
27,30630.0,1,Single,1
982,73454.0,0,Single,0
179,42691.0,0,Partner,2
1379,70503.0,0,Partner,0
32,25545.0,1,Partner,1
8,32880.0,1,Partner,1
881,77863.0,0,Partner,0
141,50353.0,0,Partner,2
1000,61839.0,0,Single,0
206,49154.0,1,Partner,1
162,47682.0,0,Single,2
619,72679.0,0,Single,0
456,57954.0,1,Partner,1
112,65316.0,1,Partner,1
11,28567.0,1,Single,1
172,47352.0,0,Partner,2
78,44931.0,0,Partner,2
464,76982.0,0,Single,0
99,57247.0,0,Partner,2
19,22944.0,1,Single,1
1,25315.0,1,Partner,1
63,43638.0,0,Single,2
252,42710.0,1,Single,1
1478,84169.0,0,Partner,0
198,54058.0,0,Partner,2
8,24683.0,1,Partner,1
416,85620.0,0,Single,0
42,47850.0,1,Partner,1
14,19514.0,1,Partner,1
17,27159.0,1,Partner,1
15,39548.0,1,Single,1
6,21474.0,1,Single,1
458,60504.0,0,Single,2
30,22419.0,0,Partner,2
179,81698.0,0,Partner,2
90,43462.0,1,Partner,1
308,54880.0,1,Single,1
557,79908.0,0,Partner,0
7,15315.0,0,Partner,2
1492,87771.0,0,Partner,0
30,33039.0,1,Partner,1
249,81741.0,0,Single,2
465,71499.0,0,Partner,0
129,62466.0,0,Partner,2
174,48799.0,0,Single,2
189,52157.0,0,Partner,2
747,66565.0,0,Single,0
6,29298.0,1,Partner,1
14,47691.0,0,Single,2
12,38200.0,1,Partner,1
98,44989.0,0,Partner,2
32,38443.0,1,Partner,1
51,38593.0,1,Single,1
200,64413.0,0,Partner,2
25,36959.0,1,Partner,1
1050,61996.0,0,Partner,0
117,51287.0,1,Partner,1
9,13260.0,1,Partner,1
56,47472.0,1,Partner,1
145,54603.0,1,Partner,1
203,45207.0,1,Partner,1
270,40689.0,0,Partner,2
9,47821.0,1,Partner,1
37,27450.0,0,Partner,2
46,39453.0,1,Partner,1
31,26850.0,1,Partner,1
1060,79800.0,0,Single,0
264,61794.0,0,Partner,2
399,53863.0,0,Partner,2
8,24221.0,0,Partner,2
19,39684.0,1,Single,1
817,92163.0,0,Partner,0
292,69882.0,0,Single,2
12,33178.0,1,Partner,1
130,59973.0,0,Partner,2
6,17459.0,1,Partner,1
16,23910.0,1,Single,1
19,42169.0,1,Partner,1
4,26224.0,1,Partner,1
31,31089.0,1,Partner,1
36,30081.0,0,Single,2
526,62807.0,0,Partner,0
400,72906.0,0,Single,0
410,61467.0,0,Partner,2
80,49618.0,1,Partner,1
88,21888.0,1,Single,1
55,42429.0,0,Single,2
5,26150.0,2,Single,1
8,30801.0,0,Partner,2
410,81168.0,0,Partner,0
101,26877.0,0,Single,2
162,45006.0,0,Single,2
2,18978.0,1,Partner,1
25,22574.0,2,Partner,1
389,48240.0,0,Single,2
215,45837.0,1,Partner,1
27,35791.0,2,Single,1
85,162397.0,1,Partner,0
5,54162.0,1,Single,1
179,30522.0,0,Partner,2
352,54456.0,0,Partner,2
17,31632.0,0,Single,2
625,72298.0,0,Single,0
10,36975.0,1,Single,1
390,72635.0,0,Partner,0
10,13624.0,1,Partner,1
215,84196.0,0,Single,2
1001,70971.0,0,Partner,0
19,34487.0,1,Single,1
41,28769.0,1,Single,1
1181,69084.0,1,Partner,0
603,65488.0,0,Partner,0
129,62466.0,0,Partner,2
10,32218.0,0,Single,2
514,83917.0,0,Single,0
14,46102.0,2,Single,1
387,84574.0,0,Single,0
121,56181.0,0,Partner,2
965,63120.0,0,Single,0
707,73691.0,0,Partner,0
571,63381.0,0,Partner,0
586,76140.0,0,Partner,0
1063,62859.0,0,Single,0
305,45906.0,0,Single,2
1200,77632.0,0,Partner,0
163,46463.0,1,Partner,1
1009,105471.0,0,Partner,0
125,55282.0,1,Single,1
721,78710.0,0,Partner,0
315,66886.0,0,Partner,2
1000,98777.0,0,Single,0
16,29103.0,1,Partner,1
757,67445.0,0,Partner,0
30,50616.0,0,Partner,2
219,49431.0,0,Single,2
1,153924.0,0,Single,0
111,61278.0,0,Partner,2
45,26490.0,0,Partner,2
410,73059.0,0,Partner,0
100,46734.0,1,Single,1
509,56253.0,0,Partner,2
3,19986.0,1,Partner,1
445,58330.0,0,Single,2
2,25965.0,0,Partner,2
4,14661.0,0,Partner,2
6,18690.0,0,Partner,2
14,45068.0,0,Partner,2
1,21063.0,1,Single,1
26,29187.0,1,Partner,1
111,54690.0,1,Partner,1
418,59304.0,0,Partner,2
327,59247.0,0,Single,2
371,66731.0,0,Single,2
275,77353.0,0,Partner,2
789,52614.0,0,Single,0
1,26751.0,2,Partner,1
1004,81300.0,0,Partner,0
187,70337.0,0,Single,2
56,36145.0,1,Partner,1
365,65295.0,0,Single,2
595,68118.0,0,Single,0
1132,68743.0,0,Single,0
34,41039.0,0,Partner,2
116,38946.0,0,Partner,2
565,65777.0,0,Partner,0
372,66476.0,0,Single,2
899,86857.0,0,Single,0
55,160803.0,0,Partner,0
760,77845.0,0,Partner,0
260,69476.0,0,Partner,2
459,50611.0,0,Single,2
466,61209.0,0,Single,2
67,42315.0,0,Partner,2
2,13084.0,0,Partner,2
67,47570.0,1,Single,1
92,61923.0,0,Partner,2
4,34824.0,0,Single,2
20,26518.0,1,Single,1
273,45938.0,0,Single,2
434,78468.0,0,Partner,0
321,78901.0,0,Single,2
212,71427.0,2,Partner,1
909,71022.0,0,Single,0
1184,90247.0,0,Single,0
112,41335.0,1,Single,1
656,71952.0,1,Partner,0
23,35682.0,1,Single,1
537,43185.0,0,Single,2
712,66375.0,0,Partner,0
23,35178.0,1,Partner,1
1,25252.0,1,Partner,1
664,55250.0,0,Single,0
6,33249.0,1,Single,1
299,58398.0,0,Partner,2
99,50272.0,1,Partner,1
749,76618.0,0,Partner,0
345,87305.0,0,Single,0
9,25851.0,1,Partner,1
440,58710.0,0,Single,2
8,45160.0,1,Single,1
670,74806.0,0,Partner,0
524,59111.0,0,Partner,0
6,18988.0,1,Partner,1
597,72190.0,0,Partner,0
7,7500.0,1,Partner,1
54,44794.0,0,Partner,2
445,80395.0,0,Partner,0
294,75012.0,0,Single,2
292,56962.0,2,Partner,1
412,89891.0,0,Partner,0
8,35946.0,1,Single,1
349,53593.0,1,Partner,1
328,66373.0,1,Partner,1
144,45072.0,1,Single,1
1126,89694.0,1,Single,0
967,72025.0,0,Partner,0
432,67432.0,0,Partner,0
138,70545.0,0,Partner,2
0,17487.0,1,Partner,1
509,62882.0,0,Partner,0
948,64108.0,0,Single,0
39,34941.0,1,Partner,1
28,48767.0,1,Single,1
13,38702.0,1,Partner,1
307,82224.0,0,Partner,2
901,83844.0,0,Partner,0
2,17003.0,1,Partner,1
283,71163.0,0,Single,2
4,33697.0,1,Single,1
769,63564.0,0,Partner,0
518,83443.0,0,Partner,0
350,51518.0,0,Partner,2
445,58330.0,0,Single,2
778,80952.0,0,Partner,0
709,75507.0,0,Partner,0
359,63855.0,0,Partner,2
799,62220.0,0,Partner,0
895,58512.0,0,Partner,0
40,40662.0,1,Partner,1
76,38829.0,0,Partner,2
11,35523.0,1,Partner,1
245,79146.0,1,Single,1
647,78285.0,0,Partner,0
39,31626.0,1,Single,1
203,75127.0,0,Single,2
138,48726.0,0,Partner,2
587,74985.0,0,Partner,0
595,67430.0,0,Partner,0
43,46891.0,0,Partner,2
301,62058.0,0,Partner,2
180,72063.0,0,Partner,2
794,78939.0,0,Partner,0
392,42720.0,1,Single,1
39,33622.0,1,Partner,1
107,6835.0,0,Partner,2
13,41452.0,1,Partner,1
70,40760.0,0,Single,2
680,74250.0,0,Partner,0
26,51124.0,1,Single,1
522,72258.0,0,Single,0
412,71466.0,0,Single,0
6,36283.0,1,Partner,1
2,20587.0,1,Single,1
1,30467.0,1,Partner,1
6,31590.0,1,Partner,1
4,20425.0,1,Partner,1
18,17144.0,1,Partner,1
324,42564.0,0,Single,2
327,43783.0,1,Partner,1
229,40780.0,0,Single,2
521,62847.0,0,Partner,0
184,82017.0,0,Partner,2
4,16813.0,0,Single,2
183,51267.0,1,Partner,1
31,46524.0,0,Single,2
219,45183.0,0,Single,2
479,70421.0,0,Partner,0
584,60161.0,0,Single,0
627,73926.0,0,Partner,0
24,19329.0,1,Partner,1
330,61872.0,0,Partner,2
19,46984.0,1,Single,1
28,34838.0,1,Partner,1
606,82716.0,0,Single,0
1039,48192.0,0,Partner,0
411,49681.0,0,Partner,2
34,56850.0,0,Partner,2
161,55267.0,0,Partner,2
623,59666.0,1,Partner,1
604,72504.0,0,Single,0
3,26872.0,0,Partner,2
12,21359.0,1,Single,1
184,73170.0,0,Single,2
393,52750.0,0,Partner,2
410,91820.0,0,Partner,0
376,65968.0,0,Partner,2
7,30772.0,1,Partner,1
68,22507.0,0,Single,2
642,65685.0,0,Partner,0
8,25804.0,1,Partner,1
840,76412.0,0,Single,0
7,22063.0,1,Partner,1
464,57091.0,0,Single,2
30,22419.0,0,Partner,2
1492,87771.0,0,Partner,0
752,78353.0,0,Single,0
1279,93404.0,1,Partner,0
22,37859.0,1,Single,1
860,80995.0,0,Single,0
3,16529.0,1,Partner,1
10,55412.0,1,Single,1
351,48789.0,0,Single,2
421,56575.0,0,Partner,2
2,25130.0,1,Partner,1
25,35441.0,1,Partner,1
336,71391.0,0,Partner,2
191,49494.0,1,Single,1
563,81702.0,0,Single,0
31,45889.0,0,Single,2
479,56628.0,0,Single,2
18,34026.0,1,Partner,1
91,40049.0,0,Partner,2
5,34176.0,1,Single,1
2,19419.0,1,Partner,1
362,82504.0,0,Partner,0
724,81205.0,0,Partner,0
605,61618.0,0,Single,0
547,55284.0,0,Single,0
104,49980.0,0,Single,2
8,15072.0,2,Partner,1
224,49166.0,0,Single,2
384,65324.0,0,Partner,2
556,82347.0,0,Partner,0
24,30843.0,1,Partner,1
408,46374.0,0,Partner,2
265,60474.0,0,Single,2
34,38576.0,0,Partner,2
374,55357.0,2,Partner,1
27,37758.0,1,Partner,1
600,85710.0,0,Partner,0
13,23228.0,1,Partner,1
167,44602.0,1,Partner,1
0,7500.0,0,Partner,2
46,38683.0,1,Partner,1
88,49514.0,1,Single,1
243,57906.0,0,Partner,2
275,43456.0,0,Single,2
6,19485.0,2,Single,1
121,53172.0,0,Partner,2
4,30545.0,1,Partner,1
1308,70123.0,0,Partner,0
515,62450.0,0,Single,0
4,21675.0,1,Partner,1
48,42395.0,1,Single,1
562,61346.0,1,Partner,1
769,80812.0,0,Partner,0
379,42835.0,1,Single,1
29,39922.0,1,Partner,1
387,86424.0,0,Single,0
12,17117.0,1,Partner,1
6,24762.0,1,Single,1
27,35797.0,0,Partner,2
9,36627.0,2,Single,1
22,51111.0,1,Partner,1
899,86857.0,0,Single,0
889,82072.0,0,Partner,0
189,46231.0,2,Single,1
48,42243.0,1,Partner,1
230,51195.0,1,Partner,1
852,68092.0,0,Single,0
35,31814.0,1,Partner,1
205,51390.0,1,Single,1
255,76630.0,0,Partner,2
0,26868.0,1,Single,1
437,48948.0,0,Single,2
825,55260.0,0,Single,0
316,64090.0,0,Partner,2
756,78331.0,0,Single,0
194,37087.0,1,Partner,1
7,21846.0,1,Single,1
183,81320.0,0,Partner,2
171,54137.0,0,Single,2
243,66825.0,0,Partner,2
181,57100.0,0,Partner,2
151,58917.0,1,Partner,1
494,85072.0,0,Single,0
464,86429.0,0,Single,0
5,45684.0,1,Single,1
29,47889.0,1,Partner,1
102,45921.0,0,Partner,2
604,78420.0,0,Single,0
571,75114.0,0,Partner,0
953,52278.0,0,Single,0
63,35641.0,1,Partner,1
770,95529.0,0,Single,0
398,62820.0,0,Partner,2
741,73113.0,0,Partner,0
1478,84169.0,0,Partner,0
156,42607.0,0,Single,2
960,74637.0,0,Single,0
38,46015.0,1,Partner,1
315,72354.0,0,Single,2
15,39858.0,1,Single,1
19,34469.0,1,Partner,1
812,83033.0,1,Partner,0
73,24401.0,0,Partner,2
372,77583.0,0,Partner,0
871,74116.0,0,Single,0
375,74293.0,0,Single,0
760,68397.0,0,Partner,0
471,79632.0,0,Partner,0
31,46107.0,1,Single,1
819,64950.0,0,Single,0
1,25443.0,1,Partner,1
203,75127.0,0,Single,2
26,32892.0,1,Partner,1
354,71796.0,0,Partner,2
1253,67536.0,0,Partner,0
371,55239.0,0,Single,2
588,60554.0,1,Single,1
480,64831.0,1,Single,1
517,56067.0,0,Partner,2
267,82025.0,0,Single,2
1111,94384.0,0,Partner,0
7,14906.0,0,Single,2
1166,51563.0,0,Partner,0
261,57937.0,0,Partner,2
135,68274.0,1,Single,1
6,39771.0,1,Partner,1
711,67893.0,0,Single,0
11,27922.0,1,Partner,1
42,52190.0,1,Partner,1
79,44051.0,1,Single,1
20,42767.0,2,Single,1
30,46106.0,1,Partner,1
20,16927.0,1,Partner,1
115,59754.0,0,Partner,2
263,53700.0,0,Single,2
69,59041.0,1,Partner,1
267,54237.0,0,Single,2
561,70647.0,0,Single,0
492,52597.0,0,Single,2
