MntWines,Income,Kidhome,Marital_Status,cluster_em,cluster_em_probability
163,81361.0,0,Single,0,0.9999999275632216
17,29440.0,1,Partner,1,0.9999994761122424
130,36138.0,1,Partner,1,0.9999989075065495
292,50388.0,0,Single,0,0.9999999925987364
350,79593.0,0,Partner,0,0.999999810624111
135,54178.0,0,Partner,0,0.999999989819127
15,42394.0,1,Single,1,0.9999994599201385
27,23626.0,1,Partner,1,0.9999993371801098
5,30096.0,1,Partner,1,0.9999994833050396
505,47916.0,0,Single,0,0.9999999696111854
51,51813.0,1,Single,1,0.9999984759210033
207,78497.0,0,Partner,0,0.9999998640043367
135,50150.0,0,Partner,0,0.9999999914410225
53,47823.0,0,Single,0,0.9999999979604111
41,34554.0,0,Single,0,0.9999999982917744
386,85693.0,0,Partner,0,0.99999954666307
562,65846.0,0,Partner,0,0.9999998692459645
217,87195.0,0,Partner,0,0.9999994375732087
1,24594.0,1,Partner,1,0.9999994613975531
144,49096.0,1,Partner,1,0.9999982352158174
295,52413.0,0,Partner,0,0.9999999779952733
76,38557.0,1,Single,1,0.9999996207595911
454,89058.0,0,Partner,0,0.9999992179928265
425,77298.0,0,Partner,0,0.9999998308856811
1332,68126.0,0,Single,0,0.9999940719965491
527,57288.0,0,Partner,0,0.999999906291893
490,86037.0,0,Single,0,0.9999998430064813
378,43974.0,1,Partner,1,0.9997200596317034
64,50785.0,1,Single,1,0.9999988361946639
547,90765.0,0,Partner,0,0.9999989263573451
47,36550.0,1,Partner,1,0.999999361443416
12,30753.0,1,Partner,1,0.9999994757056665
1,21918.0,1,Partner,1,0.999999392248247
320,56129.0,0,Partner,0,0.9999999724038847
34,32557.0,1,Single,1,0.9999997082324262
9,19510.0,2,Partner,2,1.0
17,30992.0,1,Single,1,0.9999997240132082
722,101970.0,0,Single,0,0.9999983946894566
162,71488.0,0,Partner,0,0.9999999499499944
450,79607.0,0,Single,0,0.9999999299645361
70,54348.0,1,Partner,1,0.9999955914698129
492,77376.0,1,Partner,1,0.996224201200382
120,62998.0,0,Partner,0,0.9999999818411159
534,61331.0,1,Single,1,0.9866636138983145
236,73448.0,0,Partner,0,0.9999999269945805
220,41551.0,1,Partner,1,0.9999962681910118
796,62981.0,0,Partner,0,0.9999994757606838
0,9548.0,1,Single,1,0.9999985071365055
53,33762.0,2,Partner,2,1.0
15,35860.0,1,Single,1,0.9999996829367218
17,36921.0,1,Single,1,0.9999996650028723
962,92859.0,0,Single,0,0.9999993176012102
738,65104.0,0,Partner,0,0.9999996498733763
399,86111.0,0,Partner,0,0.999999513154806
614,68352.0,0,Single,0,0.9999999467535329
32,41883.0,1,Partner,1,0.9999990362535297
598,59809.0,0,Partner,0,0.9999998534784603
2,23957.0,1,Partner,1,0.9999994463590913
6,38547.0,1,Partner,1,0.999999195677747
73,35688.0,2,Partner,2,1.0
42,49605.0,0,Partner,0,0.9999999947644529
295,59354.0,0,Partner,0,0.9999999724200709
346,65747.0,0,Partner,0,0.9999999506168157
233,46344.0,0,Partner,0,0.9999999858032442
5,34176.0,1,Single,1,0.9999997021863417
888,61010.0,0,Partner,0,0.9999989033054836
997,69372.0,0,Partner,0,0.9999981703619691
212,49967.0,0,Single,0,0.9999999952356706
8,60199.0,1,Single,1,0.9999806393552556
42,55375.0,0,Partner,0,0.9999999926000331
536,80317.0,0,Single,0,0.9999999116740689
5,30523.0,2,Single,2,1.0
1349,70356.0,0,Partner,0,0.9999718035691852
53,23228.0,1,Partner,1,0.9999991126914722
1001,74165.0,0,Single,0,0.9999995891401108
20,157243.0,0,Partner,2,0.9999885483210796
18,43482.0,2,Partner,2,1.0
125,62551.0,0,Single,0,0.9999999934097055
212,52332.0,0,Single,0,0.9999999949603353
277,66951.0,0,Single,0,0.9999999855514812
15,26091.0,1,Partner,1,0.9999994526179764
7,33456.0,1,Partner,1,0.9999994311470496
12,28718.0,1,Partner,1,0.9999994818222443
85,50447.0,2,Partner,2,1.0
81,53537.0,1,Partner,1,0.9999965300713393
59,52074.0,0,Single,0,0.9999999974701703
1149,80427.0,0,Partner,0,0.999995818058584
847,83837.0,0,Partner,0,0.9999989413965577
29,38853.0,1,Partner,1,0.9999992549846266
2,38285.0,2,Partner,2,1.0
207,78497.0,0,Partner,0,0.9999998640043367
152,51650.0,0,Partner,0,0.999999990129961
12,16248.0,1,Partner,1,0.9999988968728859
620,66835.0,0,Partner,0,0.9999998183973974
47,30477.0,1,Partner,1,0.9999994122976248
1,28249.0,0,Partner,0,0.9999999963733055
10,25271.0,1,Partner,1,0.9999994516099673
35,32303.0,0,Single,0,0.999999998271524
356,61286.0,0,Partner,0,0.9999999598912755
783,74068.0,0,Partner,0,0.9999994877084448
42,45759.0,1,Partner,1,0.9999985769134164
1,24882.0,1,Partner,1,0.9999994662736217
466,66973.0,0,Partner,0,0.9999999129520456
15,36640.0,1,Single,1,0.9999996689895344
23,38872.0,1,Partner,1,0.999999238173557
235,51148.0,1,Partner,1,0.9999954849487179
10,31353.0,1,Partner,1,0.9999994704057807
656,69661.0,0,Partner,0,0.9999997629711658
519,80067.0,0,Partner,0,0.9999997180383182
344,86718.0,0,Partner,0,0.9999994830090198
96,46854.0,1,Single,1,0.9999993475809937
448,69142.0,0,Single,0,0.9999999712881604
265,75922.0,0,Single,0,0.9999999648964477
587,63693.0,0,Single,0,0.9999999580508918
763,102160.0,0,Partner,0,0.9999934924543936
22,40637.0,1,Single,1,0.999999564984059
6,18890.0,0,Single,0,0.9999999971567872
7,29604.0,1,Partner,1,0.9999994853502613
81,48721.0,1,Single,1,0.9999991900602201
54,44794.0,0,Partner,0,0.9999999953123844
1170,64497.0,0,Single,0,0.9999979622314378
72,46097.0,0,Partner,0,0.9999999946328924
613,77972.0,0,Partner,0,0.9999996909434914
224,44377.0,1,Partner,1,0.9999963388751032
410,46014.0,1,Partner,1,0.9992685184530306
239,70951.0,0,Partner,0,0.999999944531339
171,41443.0,1,Partner,1,0.999998322988586
12,52195.0,2,Single,2,1.0
1076,83790.0,0,Partner,0,0.9999971139133664
182,44551.0,0,Single,0,0.9999999961741448
824,69508.0,1,Partner,2,0.9999952919475075
30,45204.0,1,Partner,1,0.9999985573182869
377,72460.0,0,Partner,0,0.9999999069632545
520,77622.0,0,Partner,0,0.9999997755726401
155,30732.0,1,Partner,1,0.999997765290947
897,63887.0,0,Single,0,0.9999997331903688
131,42011.0,1,Partner,1,0.9999988907036215
297,51369.0,0,Partner,0,0.9999999780827145
787,51537.0,0,Single,0,0.999999777214458
792,79930.0,0,Partner,0,0.9999993179796681
4,34320.0,1,Partner,1,0.9999994025437582
231,37070.0,1,Single,1,0.9999961525814555
983,81975.0,0,Single,0,0.9999995931195811
3,38590.0,1,Partner,1,0.9999991777656737
0,15033.0,0,Single,0,0.9999999962114892
562,62745.0,0,Partner,0,0.9999998788012141
5,22212.0,1,Partner,1,0.999999387042283
18,23661.0,1,Partner,1,0.9999993826730198
415,79761.0,0,Single,0,0.9999999325487461
5,7500.0,1,Single,1,0.9999976012639281
8,60182.0,0,Single,0,0.9999999960530088
901,73455.0,0,Single,0,0.9999997627777898
382,64961.0,0,Partner,0,0.9999999455932486
14,22804.0,1,Single,1,0.999999650381542
559,73687.0,0,Partner,0,0.9999998114603201
789,61074.0,0,Partner,0,0.9999994779352649
11,31686.0,1,Partner,1,0.999999466225367
1218,80134.0,1,Partner,2,1.0
925,75027.0,0,Partner,0,0.9999988888933098
864,67546.0,0,Partner,0,0.9999992300086509
960,65176.0,0,Partner,0,0.9999983993283811
16,31160.0,1,Single,1,0.9999997242728564
3,29938.0,1,Single,1,0.9999997322046233
168,102692.0,0,Single,0,0.9999939128505992
45,26490.0,0,Partner,0,0.99999999431052
650,75702.0,1,Partner,2,0.6064121966086117
24,30899.0,1,Single,1,0.999999718844871
918,63342.0,0,Partner,0,0.9999987472888113
138,45989.0,0,Single,0,0.9999999969965607
12,18701.0,1,Single,1,0.9999995136259382
11,40737.0,2,Single,2,1.0
1,15287.0,1,Single,1,0.9999993664364233
554,69674.0,0,Single,0,0.9999999564248984
167,44159.0,1,Partner,1,0.9999983765325575
9,37717.0,1,Partner,1,0.9999992629143327
177,43776.0,1,Partner,1,0.9999981890215948
38,38179.0,1,Partner,1,0.9999993033647396
483,80124.0,0,Partner,0,0.9999997396183035
77,38097.0,1,Partner,1,0.9999992744273832
182,72940.0,0,Partner,0,0.9999999379087897
10,22070.0,1,Partner,1,0.9999993601175245
778,69267.0,0,Single,0,0.9999998794003029
16,31788.0,1,Single,1,0.9999997224087552
167,61905.0,0,Partner,0,0.999999980729694
13,29315.0,1,Partner,1,0.99999948100341
33,33378.0,1,Single,1,0.9999997063999335
625,66313.0,0,Partner,0,0.9999998158488835
216,60714.0,0,Single,0,0.9999999924235237
68,77882.0,0,Partner,0,0.9999998864949442
196,69867.0,0,Single,0,0.9999999842322326
635,63841.0,0,Single,0,0.9999999459874523
4,24480.0,1,Partner,1,0.9999994520619735
297,51369.0,0,Partner,0,0.9999999780827145
84,37760.0,0,Partner,0,0.999999994598662
204,65640.0,0,Partner,0,0.9999999701208293
26,44319.0,1,Partner,1,0.9999986750907317
15,30631.0,1,Partner,1,0.999999474761663
304,75278.0,0,Partner,0,0.9999998964102517
285,50898.0,1,Partner,1,0.999989231485929
395,79946.0,0,Single,0,0.9999999329577798
248,35416.0,0,Single,0,0.999999992407016
20,32414.0,0,Partner,0,0.9999999962933952
39,38361.0,1,Partner,1,0.9999992962366492
777,82497.0,0,Partner,0,0.9999992474697172
8,16626.0,2,Partner,2,1.0
9,29672.0,1,Partner,1,0.9999994837970476
1241,55951.0,0,Partner,0,0.999956891970813
6,35388.0,1,Single,1,0.9999996846515291
65,42386.0,1,Partner,1,0.9999990878769726
395,68627.0,0,Single,0,0.9999999766884751
801,57912.0,0,Single,0,0.999999827966375
36,35246.0,1,Single,1,0.9999996919673796
513,58821.0,0,Partner,0,0.9999999134313884
37,46377.0,1,Partner,1,0.999998396975253
80,39747.0,1,Single,1,0.9999995991038557
14,23976.0,1,Partner,1,0.9999994086620444
525,80950.0,0,Partner,0,0.9999996871564544
1,27038.0,0,Single,0,0.9999999983747889
675,77457.0,0,Single,0,0.9999998974695393
509,64100.0,0,Partner,0,0.9999999055479512
154,42670.0,0,Partner,0,0.9999999915384663
3,12571.0,1,Single,1,0.9999990506464872
25,22574.0,2,Partner,2,1.0
768,70893.0,0,Single,0,0.9999998830982404
185,54198.0,1,Partner,1,0.9999966191282297
24,28839.0,1,Partner,1,0.9999994621461789
44,40321.0,1,Partner,1,0.9999991982716309
91,66503.0,1,Single,1,0.9999756552443507
11,30833.0,1,Partner,1,0.9999994754659046
412,64795.0,0,Partner,0,0.9999999386359094
3,34421.0,1,Partner,1,0.9999993974624551
16,47025.0,1,Single,1,0.9999990121388732
731,64325.0,0,Single,0,0.9999999075840982
424,40464.0,0,Single,0,0.9999999765524239
792,62187.0,0,Partner,0,0.9999994813695187
21,14849.0,1,Single,1,0.9999991182865028
22,27255.0,1,Partner,1,0.9999994513653152
33,54432.0,2,Partner,2,1.0
68,29999.0,1,Single,1,0.999999620947661
9,24072.0,1,Single,1,0.9999996872680752
40,33996.0,0,Single,0,0.9999999982838119
909,66334.0,0,Partner,0,0.9999989327410994
23,35178.0,1,Partner,1,0.9999993987570153
11,22010.0,1,Partner,1,0.9999993529368127
317,62204.0,0,Single,0,0.9999999880423527
797,75693.0,0,Single,0,0.9999998496029903
10,30675.0,1,Partner,1,0.9999994771801769
856,83003.0,0,Partner,0,0.9999989569056269
755,83532.0,0,Partner,0,0.9999992481722411
456,68655.0,0,Single,0,0.9999999713385717
37,41411.0,0,Single,0,0.9999999983832266
1103,55212.0,0,Partner,0,0.9999886577572764
378,59292.0,0,Partner,0,0.9999999587135919
1,27190.0,1,Partner,1,0.9999994899991055
204,82623.0,0,Single,0,0.9999999120467405
30,44300.0,1,Partner,1,0.999998716639449
189,84835.0,0,Single,0,0.9999998718065595
15,30372.0,1,Single,1,0.9999997258743802
9,33181.0,1,Partner,1,0.9999994393771868
495,71113.0,0,Partner,0,0.9999998750776242
656,71952.0,1,Partner,2,0.7376658873069585
452,69759.0,0,Single,0,0.9999999697408595
546,72099.0,0,Partner,0,0.9999998378316064
1048,60000.0,0,Single,0,0.9999989545810932
22,38643.0,1,Single,1,0.9999996297720496
78,50737.0,0,Partner,0,0.9999999934293271
561,68462.0,0,Partner,0,0.9999998566905322
629,65073.0,0,Partner,0,0.9999998163008277
269,46681.0,0,Partner,0,0.999999982042315
736,78618.0,0,Partner,0,0.99999949362989
512,62187.0,0,Single,0,0.9999999719956425
19,28442.0,2,Partner,2,1.0
9,37717.0,1,Partner,1,0.9999992629143327
247,51479.0,1,Partner,1,0.9999945579066806
404,54803.0,0,Single,0,0.9999999857079711
333,79530.0,0,Partner,0,0.9999998170263663
2,31615.0,1,Single,1,0.9999997256859817
833,72025.0,0,Partner,0,0.9999993607008905
789,52614.0,0,Single,0,0.9999997895499052
10,35684.0,1,Partner,1,0.9999993650172376
159,48178.0,1,Partner,1,0.9999982129594043
7,29548.0,1,Single,1,0.9999997308284196
977,63810.0,0,Single,0,0.9999995284170258
38,38578.0,1,Single,1,0.9999996425637273
57,46098.0,1,Single,1,0.9999993487694325
3,22585.0,0,Single,0,0.9999999978877971
10,30279.0,1,Single,1,0.9999997288429417
1043,66426.0,0,Partner,0,0.9999971431292037
3,30822.0,1,Single,1,0.9999997296775148
11,33581.0,2,Partner,2,1.0
3,19986.0,1,Partner,1,0.9999992984180458
43,27421.0,0,Single,0,0.9999999977726475
73,35688.0,2,Partner,2,1.0
12,36143.0,1,Single,1,0.9999996760411679
4,10245.0,1,Single,1,0.999998590343672
314,43795.0,0,Partner,0,0.9999999744853895
571,63381.0,0,Partner,0,0.9999998710555283
70,38823.0,0,Partner,0,0.9999999951341234
866,83664.0,1,Single,2,0.9999947233877392
594,90300.0,0,Partner,0,0.999998942140226
140,62499.0,1,Partner,1,0.9999875787217267
375,74293.0,0,Single,0,0.9999999646677888
102,51012.0,0,Partner,0,0.9999999925195144
554,70777.0,0,Partner,0,0.9999998446644899
919,68682.0,0,Partner,0,0.9999989102704014
96,43824.0,1,Partner,1,0.9999989723572704
5,15345.0,1,Partner,1,0.9999988693867309
2,23442.0,1,Single,1,0.9999996906582281
6,14515.0,1,Partner,1,0.9999987307541741
23,31395.0,1,Single,1,0.9999997193823503
610,75276.0,0,Partner,0,0.9999997465126446
67,42373.0,1,Single,1,0.9999995480373647
65,30507.0,0,Partner,0,0.9999999944020406
416,55521.0,1,Single,1,0.9998024480500839
23,48006.0,1,Partner,1,0.9999976619107964
19,27213.0,1,Single,1,0.9999997084836031
155,65808.0,1,Single,1,0.9999898071946368
14,30351.0,1,Partner,1,0.9999994770898492
370,50437.0,0,Partner,0,0.9999999654962674
4,23616.0,1,Single,1,0.9999996896988519
407,53858.0,0,Partner,0,0.9999999561822747
1200,66465.0,0,Partner,0,0.9999896836231067
85,46923.0,1,Single,1,0.9999993401242523
583,75072.0,0,Partner,0,0.9999997739106898
483,75865.0,0,Partner,0,0.9999998276189881
2,19789.0,1,Partner,1,0.9999992933262504
966,80134.0,0,Partner,0,0.9999984834648756
822,91065.0,0,Single,0,0.9999995675925109
604,49505.0,1,Partner,2,0.8914324702511068
19,37401.0,1,Partner,1,0.9999993087518488
5,30096.0,1,Partner,1,0.9999994833050396
2,18492.0,1,Partner,1,0.999999212438966
1076,82584.0,0,Partner,0,0.999997184760766
1285,93027.0,0,Partner,0,0.9999898532637636
10,48686.0,1,Partner,1,0.9999969299515249
551,92910.0,0,Partner,0,0.9999985283730713
800,75433.0,1,Partner,2,0.9999058442426028
2,10404.0,1,Partner,1,0.9999978092479046
378,61314.0,0,Partner,0,0.999999955431565
1248,84865.0,0,Single,0,0.9999984759180768
235,42387.0,1,Partner,1,0.9999951437860819
515,67309.0,1,Partner,1,0.9935549195059897
438,75236.0,0,Partner,0,0.9999998570338771
25,30015.0,1,Single,1,0.9999997165757979
31,50943.0,0,Partner,0,0.9999999946739422
357,67272.0,0,Single,0,0.9999999811951457
400,51529.0,0,Single,0,0.9999999860747355
99,32011.0,1,Partner,1,0.9999991273318833
1,7500.0,1,Partner,1,0.9999964021355965
5,28691.0,1,Partner,1,0.9999994890594417
77,56223.0,0,Partner,0,0.9999999909905082
3,18100.0,0,Partner,0,0.9999999932036303
10,30279.0,1,Single,1,0.9999997288429417
0,20130.0,0,Partner,0,0.999999994359893
0,23295.0,0,Single,0,0.9999999980315133
76,42618.0,1,Single,1,0.9999995383938973
398,81246.0,0,Single,0,0.9999999213198314
14,24027.0,1,Partner,1,0.9999994101145563
208,55707.0,0,Partner,0,0.9999999845614856
430,57959.0,0,Single,0,0.9999999829274736
656,56796.0,0,Partner,0,0.9999997754862701
14,36230.0,1,Single,1,0.9999996759346949
141,70829.0,1,Partner,1,0.9999047539909913
507,65991.0,0,Partner,0,0.9999998997513938
164,38988.0,1,Partner,1,0.9999984125991177
606,89572.0,0,Single,0,0.9999997286246525
116,42207.0,1,Partner,1,0.9999989890026141
143,50300.0,0,Partner,0,0.9999999910263391
398,66664.0,0,Partner,0,0.9999999356751349
522,60597.0,0,Partner,0,0.9999999067682194
161,70165.0,0,Single,0,0.9999999846529627
112,50520.0,0,Single,0,0.9999999970392448
483,80124.0,0,Partner,0,0.9999997396183035
7,33183.0,1,Partner,1,0.9999994376889525
789,66582.0,0,Single,0,0.9999998722495668
1239,75261.0,0,Partner,0,0.9999914233302197
4,31880.0,1,Single,1,0.9999997241008626
335,53790.0,0,Partner,0,0.9999999715811563
639,49269.0,1,Partner,2,0.9885372751607561
563,61456.0,0,Partner,0,0.999999880424495
2,37406.0,1,Partner,1,0.9999992553169471
746,56937.0,1,Partner,2,0.9999461780523943
22,38415.0,1,Partner,1,0.9999992625148285
4,20518.0,1,Single,1,0.999999619065125
478,62503.0,0,Partner,0,0.999999923388301
20,41644.0,1,Single,1,0.9999995163037381
451,55842.0,0,Partner,0,0.9999999418685411
371,62010.0,0,Partner,0,0.9999999555299094
281,41124.0,1,Partner,1,0.9999837821524319
19,38961.0,1,Partner,1,0.9999992196658976
26,37760.0,1,Single,1,0.9999996541181003
138,32233.0,1,Single,1,0.9999991630650186
213,43057.0,0,Partner,0,0.9999999874202619
407,83151.0,0,Partner,0,0.9999996744716558
483,78825.0,0,Single,0,0.9999999313429419
738,65104.0,0,Partner,0,0.9999996498733763
502,60093.0,0,Partner,0,0.9999999175093207
11,14045.0,1,Partner,1,0.9999985581238636
24,28457.0,0,Single,0,0.999999998173621
1170,78952.0,0,Partner,0,0.9999951764475998
185,46310.0,1,Single,1,0.999998895628084
983,76005.0,0,Partner,0,0.9999984394193175
691,58308.0,0,Single,0,0.999999920941741
504,55614.0,0,Single,0,0.9999999745651106
317,59432.0,0,Single,0,0.9999999895344427
29,55563.0,0,Single,0,0.9999999971721101
1396,78642.0,0,Partner,0,0.9999759664787964
529,67911.0,0,Partner,0,0.9999998793081402
388,65275.0,0,Partner,0,0.9999999431872338
13,27203.0,1,Partner,1,0.999999471596552
28,48330.0,0,Partner,0,0.9999999953888619
16,24279.0,0,Partner,0,0.9999999950171805
1047,64355.0,1,Partner,2,0.9999999999999991
31,50943.0,0,Partner,0,0.9999999946739422
815,53653.0,0,Single,0,0.9999997574556724
225,65665.0,0,Partner,0,0.9999999680135142
493,81217.0,0,Single,0,0.9999999106235209
34,34935.0,0,Partner,0,0.9999999960804402
382,61250.0,0,Single,0,0.9999999850948759
127,39665.0,1,Partner,1,0.9999989718169725
325,60152.0,0,Single,0,0.9999999888337268
238,48920.0,0,Partner,0,0.9999999850944282
1168,89120.0,0,Partner,0,0.9999947828647693
284,44124.0,0,Partner,0,0.9999999795950141
1288,81169.0,0,Single,0,0.9999979758689101
65,36443.0,1,Partner,1,0.9999993380477689
11,26095.0,1,Single,1,0.999999710080416
227,71367.0,0,Partner,0,0.9999999435610734
1035,80184.0,0,Partner,0,0.9999978238107161
27,30630.0,1,Single,1,0.999999715676704
982,73454.0,0,Single,0,0.9999996294422273
179,42691.0,0,Partner,0,0.9999999899990435
1379,70503.0,0,Partner,0,0.9999636004215651
32,25545.0,1,Partner,1,0.9999993792959277
8,32880.0,1,Partner,1,0.9999994451386301
881,77863.0,0,Partner,0,0.9999990671765938
141,50353.0,0,Partner,0,0.9999999911045343
1000,61839.0,0,Single,0,0.9999993748561069
206,49154.0,1,Partner,1,0.999997105320202
162,47682.0,0,Single,0,0.9999999964895583
619,72679.0,0,Single,0,0.9999999353222119
456,57954.0,1,Partner,1,0.9988369086265599
112,65316.0,1,Partner,1,0.9999687469680767
11,28567.0,1,Single,1,0.9999997263536536
172,47352.0,0,Partner,0,0.9999999901871508
78,44931.0,0,Partner,0,0.9999999946016107
464,76982.0,0,Single,0,0.9999999447065553
99,57247.0,0,Partner,0,0.9999999894464366
19,22944.0,1,Single,1,0.9999996390053484
1,25315.0,1,Partner,1,0.9999994727692223
63,43638.0,0,Single,0,0.9999999980752072
252,42710.0,1,Single,1,0.9999960056320648
1478,84169.0,0,Partner,0,0.9999657272561543
198,54058.0,0,Partner,0,0.9999999863131386
8,24683.0,1,Partner,1,0.9999994455274904
416,85620.0,0,Single,0,0.9999998585348637
42,47850.0,1,Partner,1,0.9999980965754137
14,19514.0,1,Partner,1,0.9999991959349046
17,27159.0,1,Partner,1,0.9999994625774834
15,39548.0,1,Single,1,0.9999995918199021
6,21474.0,1,Single,1,0.9999996401179477
458,60504.0,0,Single,0,0.9999999793148737
30,22419.0,0,Partner,0,0.9999999936395776
179,81698.0,0,Partner,0,0.9999997810160233
90,43462.0,1,Partner,1,0.9999990076809947
308,54880.0,1,Single,1,0.9999904281443
557,79908.0,0,Partner,0,0.9999996934386449
7,15315.0,0,Partner,0,0.9999999909442181
1492,87771.0,0,Partner,0,0.9999667159788275
30,33039.0,1,Partner,1,0.9999994409551078
249,81741.0,0,Single,0,0.9999999234335013
465,71499.0,0,Partner,0,0.9999998852695468
129,62466.0,0,Partner,0,0.9999999822033027
174,48799.0,0,Single,0,0.9999999961818204
189,52157.0,0,Partner,0,0.9999999878257846
747,66565.0,0,Single,0,0.9999998992731205
6,29298.0,1,Partner,1,0.9999994871159804
14,47691.0,0,Single,0,0.9999999983035508
12,38200.0,1,Partner,1,0.9999992440002499
98,44989.0,0,Partner,0,0.9999999939233177
32,38443.0,1,Partner,1,0.9999992829060278
51,38593.0,1,Single,1,0.9999996424736768
200,64413.0,0,Partner,0,0.9999999735022381
25,36959.0,1,Partner,1,0.9999993395063648
1050,61996.0,0,Partner,0,0.999996115270967
117,51287.0,1,Partner,1,0.9999978706844231
9,13260.0,1,Partner,1,0.9999984342141205
56,47472.0,1,Partner,1,0.9999983689533792
145,54603.0,1,Partner,1,0.9999968101215393
203,45207.0,1,Partner,1,0.9999974158144583
270,40689.0,0,Partner,0,0.9999999800996078
9,47821.0,1,Partner,1,0.9999973322121237
37,27450.0,0,Partner,0,0.9999999949380669
46,39453.0,1,Partner,1,0.9999992505298698
31,26850.0,1,Partner,1,0.999999416027217
1060,79800.0,0,Single,0,0.9999994364968907
264,61794.0,0,Partner,0,0.9999999724175804
399,53863.0,0,Partner,0,0.9999999582947856
8,24221.0,0,Partner,0,0.9999999953431944
19,39684.0,1,Single,1,0.9999995942665555
817,92163.0,0,Partner,0,0.9999980819724081
292,69882.0,0,Single,0,0.9999999806539999
12,33178.0,1,Partner,1,0.9999994413535338
130,59973.0,0,Partner,0,0.9999999854858128
6,17459.0,1,Partner,1,0.9999990965041685
16,23910.0,1,Single,1,0.9999996687336734
19,42169.0,1,Partner,1,0.9999989261739383
4,26224.0,1,Partner,1,0.9999994783997145
31,31089.0,1,Partner,1,0.9999994536725492
36,30081.0,0,Single,0,0.9999999981256451
526,62807.0,0,Partner,0,0.9999999004525236
400,72906.0,0,Single,0,0.9999999670292544
410,61467.0,0,Partner,0,0.9999999475873653
80,49618.0,1,Partner,1,0.9999980863579547
88,21888.0,1,Single,1,0.9999989851687177
